"file","sha256","downloaded_on"
"IFSI_Stability_Report_2024.pdf","731d0916f04f59ec6bba6144ce71a1bb16c0693a28a5e604ecbeadcd6816cae0","2026-08-16"
"IFSI_Stability_Report_2025.pdf","3fc20903245ef340d20a9d8971baf578da63c133a80db3db64d9a988c218f4aa","2026-08-16"
